id,attr_id,name,unit
c8378c55-f327-4ff5-aa18-ca439a26b601,858,22:04,g
4a12bfd9-0157-45df-9a10-1f2a6e3811a1,631,22:5 n-3 (DPA),g
cc9f1df6-c625-4e1b-890b-3804d4a18d21,621,22:6 n-3 (DHA),g
c91397cf-b878-41e8-aad5-8ebc58af3857,654,24:00:00,g
de113fea-6505-4bbe-9c8e-5f44d974e26d,671,24:1 c,g
1d6e9df3-d6fd-47c0-82ce-57651eb1446a,607,4:00,g
00187677-4fd7-4640-bfa2-64f492ca0d88,608,6:00,g
a1539430-c0d7-4c43-8c5d-4c2135b48e6e,609,8:00,g
2f10c771-cd87-4579-8211-2099dacc598e,645,"Fatty acids, total monounsaturated",g
27a06531-a18d-43fa-8cb0-5120f346dfc1,646,"Fatty acids, total polyunsaturated",g
f8ad92bd-5123-4741-b0c0-e24f1bcb0888,693,"Fatty acids, total trans-monoenoic",g
c59d802f-0cef-410c-87f1-e64b9e68c072,695,"Fatty acids, total trans-polyenoic",g
145d0bbc-b6b9-4d6b-acd2-de7a5b382f58,313,"Fluoride, F",µg
8c3aca94-7a61-4cad-b97b-87f7ce9b7c26,417,"Folate, total",µg
bcdb9b56-8b3e-42ad-815e-2b7ee52ebc27,431,Folic acid,µg
95ce08d0-d496-4f58-a704-9cc8ae00bae6,435,"Folate, DFE",µg
c9b361bc-228e-475e-8188-3a4314802351,432,"Folate, food",µg
5b1d3996-f0aa-40ce-afab-0535983f3f71,212,Fructose,g
d3198cc8-0dd0-4e72-acf0-256799619627,287,Galactose,g
f79ed152-05d5-4ac9-9b1b-81f4a28d8698,515,Glutamic acid,g
6adcbb0e-f797-4116-877d-2ba61c7ec2c8,211,Glucose (dextrose),g
657a8a9f-bcf2-48bd-ac29-f1efa7fb0701,516,Glycine,g
4c9ecaa3-4382-4f38-acce-a39833120c7e,512,Histidine,g
71771f9e-ab46-42eb-9538-261a0ae70596,521,Hydroxyproline,g
7b93f187-5386-40b3-a053-aea6548e8eb5,503,Isoleucine,g
3fca3bf0-53ee-4b0a-be1d-25a70d3f5b48,213,Lactose,g
7e581336-4f25-4866-8a8a-e22305a2e9e0,504,Leucine,g
91347054-d516-4cfb-a876-e0293703f636,338,Lutein + zeaxanthin,µg
1143c769-af9d-4183-8907-c46df3d408a6,337,Lycopene,µg
c0b38407-970f-4690-be8c-6b9735eef4fd,505,Lysine,g
ed3485f6-f55a-4cc7-b652-b99d2c82f64b,214,Maltose,g
08e0d1ce-5fb3-4780-a9e7-878a6da46ef4,506,Methionine,g
ff56dd07-244c-453e-aa97-4bcc7760cd79,304,"Magnesium, Mg",mg
e5b847c7-2bff-46e6-8b2d-147b76bcf043,428,Menaquinone-4,µg
41880e48-1311-41c7-91d5-5eae5bb78e6b,315,"Manganese, Mn",mg
603875d4-a309-4e39-922c-37218fa1974c,406,Niacin,mg
f71f0f17-00da-4a04-8942-c87a005f30c9,573,"Vitamin E, added",mg
cbfa7cdf-e781-4a8a-8b93-1fca326d7ea6,578,"Vitamin B-12, added",µg
8df11934-8272-474d-aedb-92ca6862384b,257,Adjusted Protein,g
c952ffbd-bb70-4bb8-9bb3-5f64cc2a2a5a,664,22:1 t,g
23b00007-ee3a-451d-9c8a-4bc238654f1d,676,22:1 c,g
be1a8d9d-fd1e-4ebc-be95-abe5b1121d3d,856,18:3i,g
bfb22e75-b296-4b79-8fe7-aa1fa049732e,665,18:2 t not further defined,g
09a87134-6acd-433f-9f22-82949ad5878e,666,18:2 i,g
b0b77c9a-79c7-40f1-b7e4-72f34068288e,305,"Phosphorus, P",mg
dc62a44f-632a-4f56-adb9-51f8d0e6c896,410,Pantothenic acid,mg
d5481a82-d13f-4c60-b454-243111f03a49,508,Phenylalanine,g
5e1e5a94-47da-44e4-b1cb-2fec4d6cf81d,636,Phytosterols,mg
e1511fd1-3de1-45ed-832a-ee5b4d61f983,517,Proline,g
0e47721a-14b9-4174-a73d-5515cfbd00c6,319,Retinol,µg
3048e404-f677-469c-9aef-ec5ad83158d2,405,Riboflavin,mg
1a000942-9789-4ed0-8f68-84c168dc716b,317,"Selenium, Se",µg
c6507833-497d-4060-8db1-cbf638f5a803,518,Serine,g
1a5ffa66-c3bc-4989-b863-e3469dcae1de,641,Beta-sitosterol,mg
2a91fd10-edd4-406c-b07b-8997dc5ee550,209,Starch,g
299364c5-1ca0-48aa-964f-149c39c75763,638,Stigmasterol,mg
8ef2c8a9-c00e-40c2-89f1-111a41c6c174,210,Sucrose,g
7e89fa22-068b-4439-8cf6-284fc943f4fe,263,Theobromine,mg
b9af5c83-26ff-49ca-9057-6cb05da209b4,404,Thiamin,mg
3d6f2328-3da1-4f43-aa43-0bd4ff9356a8,502,Threonine,g
c53d74db-b6d0-4d04-a61e-cb87c3bdebb4,323,Vitamin E (alpha-tocopherol),mg
5fa842ab-7781-4bf1-8065-8debfaa5b811,341,"Tocopherol, beta",mg
fb89788e-4fa2-4e4a-b211-74470af49b65,343,"Tocopherol, delta",mg
3f8bd51b-531f-480c-a8d8-9172d721088b,342,"Tocopherol, gamma",mg
eebf87fe-53a1-482c-9ec2-01e084dd5d74,501,Tryptophan,g
0e1d39c8-500e-468a-8799-7497753a9186,509,Tyrosine,g
d17dd16e-4313-4fbe-b754-236d6844122f,510,Valine,g
f234bbd7-1fe1-4ca9-a0ba-4f58c6a26e7c,318,"Vitamin A, IU",IU
6b597ae6-0dd2-4c15-91c7-d96be4767274,320,"Vitamin A, RAE",µg
cd365c75-7129-4748-8af0-a8cbd505a0ec,418,Vitamin B-12,µg
eef6bebc-dbc5-4c85-b668-8c05bb26a3e8,415,Vitamin B-6,mg
88a4ff58-bd22-4e32-b169-c6d6ef67d2ee,401,"Vitamin C, total ascorbic acid",mg
aa2f287c-cc85-4e96-8c6a-e1ca4e5ba4e6,328,Vitamin D (D2 + D3),µg
c79dfa14-77c6-483f-a7f0-26e442b9df28,430,Vitamin K (phylloquinone),µg
d4d13698-7c99-4560-972f-8df8d1bf50b8,429,Dihydrophylloquinone,µg
0a8f83a8-225b-4332-97da-1b39ff2eaf5d,255,Water,g
cbf7cd31-2708-4956-b1c7-d12dcd691208,309,"Zinc, Zn",mg
f7362078-3adf-4cfd-accf-7ec71d59c353,344,"Tocotrienol, alpha",mg
5b52676a-741b-49d8-a842-e8b63fcae889,345,"Tocotrienol, beta",mg
c050ffb9-f639-4dd6-b692-108a5ac19878,346,"Tocotrienol, gamma",mg
833d08a9-8775-4187-84d3-278efe75a5f1,347,"Tocotrienol,delta",mg
